"timestamp","system.slice/ModemManager.service::memory.current","system.slice/NetworkManager-dispatcher.service::memory.current","system.slice/NetworkManager.service::memory.current","system.slice/\x2esnapshots.mount::memory.current","system.slice/auditd.service::memory.current","system.slice/avahi-daemon.service::memory.current","system.slice/backup-rpmdb.service::memory.current","system.slice/backup-sysconfig.service::memory.current","system.slice/bluetooth.service::memory.current","system.slice/bolt.service::memory.current","system.slice/boot-efi.mount::memory.current","system.slice/boot-grub2-i386\x2dpc.mount::memory.current","system.slice/boot-grub2-x86_64\x2defi.mount::memory.current","system.slice/cgar_collector.service::memory.current","system.slice/chronyd.service::memory.current","system.slice/cron.service::memory.current","system.slice/cups.service::memory.current","system.slice/dbus.service::memory.current","system.slice/dev-system-swap.swap::memory.current","system.slice/display-manager.service::memory.current","system.slice/docker-2428ce1f049231393715e90fd02d680a73e0a7e3affa220eb11d5dde73fc3a19.scope::memory.current","system.slice/docker.service::memory.current","system.slice/firewalld.service::memory.current","system.slice/haveged.service::memory.current","system.slice/home.mount::memory.current","system.slice/irqbalance.service::memory.current","system.slice/isos.mount::memory.current","system.slice/libvirtd.service::memory.current","system.slice/logrotate.service::memory.current","system.slice/mcelog.service::memory.current","system.slice/opt.mount::memory.current","system.slice/polkit.service::memory.current","system.slice/postfix.service::memory.current","system.slice/power-profiles-daemon.service::memory.current","system.slice/root.mount::memory.current","system.slice/rsyslog.service::memory.current","system.slice/rtkit-daemon.service::memory.current","system.slice/smartd.service::memory.current","system.slice/snap-bare-5.mount::memory.current","system.slice/snap-core-14399.mount::memory.current","system.slice/snap-core-14447.mount::memory.current","system.slice/snap-core18-2667.mount::memory.current","system.slice/snap-core18-2679.mount::memory.current","system.slice/snap-gnome\x2d3\x2d34\x2d1804-77.mount::memory.current","system.slice/snap-gtk\x2dcommon\x2dthemes-1535.mount::memory.current","system.slice/snap-slack-68.mount::memory.current","system.slice/snap-wekan-1999.mount::memory.current","system.slice/snap.wekan.mongodb.service::memory.current","system.slice/snap.wekan.wekan.service::memory.current","system.slice/snapd.service::memory.current","system.slice/snapd.socket::memory.current","system.slice/snapper-timeline.service::memory.current","system.slice/snapperd.service::memory.current","system.slice/srv.mount::memory.current","system.slice/storage.mount::memory.current","system.slice/sysroot.mount::memory.current","system.slice/system-getty.slice::memory.current","system.slice/system-lvm2\x2dpvscan.slice::memory.current","system.slice/system-modprobe.slice::memory.current","system.slice/system-systemd\x2dbacklight.slice::memory.current","system.slice/system-systemd\x2dcryptsetup.slice::memory.current","system.slice/system-systemd\x2dfsck.slice::memory.current","system.slice/system-systemd\x2dhibernate\x2dresume.slice::memory.current","system.slice/systemd-hostnamed.service::memory.current","system.slice/systemd-journald.service::memory.current","system.slice/systemd-localed.service::memory.current","system.slice/systemd-logind.service::memory.current","system.slice/systemd-machined.service::memory.current","system.slice/systemd-timedated.service::memory.current","system.slice/systemd-udevd.service::memory.current","system.slice/tmp.mount::memory.current","system.slice/tuned.service::memory.current","system.slice/udisks2.service::memory.current","system.slice/upower.service::memory.current","system.slice/usr-local.mount::memory.current","system.slice/var-lib-docker.mount::memory.current","system.slice/var.mount::memory.current","system.slice/vm.mount::memory.current","system.slice/wpa_supplicant.service::memory.current"
"2023-02-09T08:59:00+01:00",12.2,1.6,13.5,0.0,5.2,1.7,"-","-",2.1,2.0,0.0,0.0,0.1,13.8,1.7,0.6,8.1,3.1,0.3,205.0,46.5,233.9,49.0,3.3,2.8,0.7,0.0,200.4,168.3,0.7,0.1,32.2,11.7,"-",0.1,3.7,"-",4.6,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.3,120.1,330.0,54.8,0.0,"-","-",0.0,0.0,1.8,0.0,0.2,0.3,0.1,0.0,0.3,0.0,1.5,10.3,1.5,1.9,1.4,1.3,186.2,0.1,20.2,"-","-",0.1,0.0,0.1,0.0,3.8
"2023-02-09T09:00:20+01:00",12.1,"-",13.5,0.0,5.3,1.7,"-","-",2.1,2.0,0.0,0.0,0.1,14.4,1.7,0.9,8.1,3.2,0.3,232.9,46.5,236.7,49.0,4.4,2.8,0.8,0.0,179.6,"-",0.7,0.1,32.9,11.7,"-",0.1,3.8,"-",4.6,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.3,121.4,329.4,62.5,0.0,0.2,"-",0.0,0.0,1.8,0.6,0.2,0.3,0.1,0.0,0.3,0.0,"-",10.3,"-",2.0,1.4,"-",71.9,0.1,20.2,9.9,2.5,0.1,0.0,0.1,0.0,3.8
"2023-02-09T09:01:21+01:00",12.1,"-",13.5,0.0,5.3,1.7,"-","-",2.1,2.0,0.0,0.0,0.1,12.3,1.7,0.9,8.1,3.2,0.3,232.9,46.6,236.9,49.0,4.4,2.8,0.8,0.0,157.6,"-",0.7,0.1,32.9,11.7,"-",0.1,3.8,"-",4.6,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.3,121.4,329.9,66.4,0.0,"-",9.4,0.0,0.0,1.8,0.6,0.2,0.3,0.1,0.0,0.3,0.0,"-",10.3,"-",2.0,1.4,"-",71.9,0.1,20.2,9.9,2.5,0.1,0.0,0.1,0.0,3.9
"2023-02-09T09:02:29+01:00",12.1,"-",13.5,0.0,5.3,1.7,"-",1.8,2.1,2.0,0.0,0.0,0.1,12.4,1.7,0.9,8.1,3.2,0.3,232.9,46.6,236.9,49.1,4.4,2.8,0.8,0.0,157.6,"-",0.7,0.1,32.9,11.7,"-",0.1,3.8,"-",4.6,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.3,121.4,329.5,64.9,0.0,"-","-",0.0,0.0,1.8,0.6,0.2,0.3,0.1,0.0,0.3,0.0,"-",10.3,"-",2.0,1.4,"-",71.9,0.1,20.2,9.9,2.5,0.1,0.0,0.1,0.0,3.9
"2023-02-09T09:03:07+01:00",12.1,"-",13.5,0.0,5.3,1.7,"-","-",2.1,2.0,0.0,0.0,0.1,14.3,1.7,0.9,8.1,3.2,0.3,232.9,46.5,244.4,49.1,4.4,2.8,0.8,0.0,157.6,"-",0.7,0.1,32.9,11.7,"-",0.1,3.8,"-",4.6,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.3,121.5,330.4,64.9,0.0,"-","-",0.0,0.0,1.8,0.6,0.2,0.3,0.1,0.0,0.3,0.0,"-",10.3,"-",2.0,1.4,"-",71.9,0.1,20.2,9.9,2.5,0.1,0.0,0.1,0.0,3.9
"2023-02-09T09:04:23+01:00",12.1,"-",13.5,0.0,5.3,1.7,"-","-",2.1,2.0,0.0,0.0,0.1,12.0,1.7,0.9,8.1,3.2,0.3,232.9,46.7,248.0,49.1,4.4,2.8,0.8,0.0,157.6,"-",0.7,0.1,32.9,11.7,"-",0.1,3.8,"-",4.6,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.3,121.5,331.3,64.9,0.0,"-","-",0.0,0.0,1.8,0.6,0.2,0.3,0.1,0.0,0.3,0.0,"-",10.3,"-",2.0,1.4,0.4,71.9,0.1,22.1,9.9,2.5,0.1,0.0,0.1,0.0,3.9
"2023-02-09T09:05:29+01:00",12.1,"-",13.5,0.0,5.3,1.7,"-","-",2.1,2.0,0.0,0.0,0.1,14.4,1.7,0.9,8.1,3.2,0.3,232.9,46.8,255.8,49.1,4.4,2.8,0.8,0.0,157.6,"-",0.7,0.1,32.9,11.7,"-",0.1,3.8,"-",4.6,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.3,121.5,330.8,64.9,0.0,"-","-",0.0,0.0,1.8,0.6,0.2,0.3,0.1,0.0,0.3,0.0,"-",10.3,"-",2.0,1.4,"-",71.9,0.1,22.1,9.9,2.5,0.1,0.0,0.1,0.0,3.9
"2023-02-09T09:06:21+01:00",12.1,"-",13.5,0.0,5.3,1.7,"-","-",2.1,2.0,0.0,0.0,0.1,14.3,1.7,0.9,8.1,3.2,0.3,232.9,46.8,261.7,49.1,4.4,2.8,0.8,0.0,157.6,"-",0.7,0.1,32.9,11.7,"-",0.1,3.8,"-",4.6,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.3,121.5,331.1,64.9,0.0,"-","-",0.0,0.0,1.8,0.6,0.2,0.3,0.1,0.0,0.3,0.0,"-",10.3,"-",2.1,1.4,"-",71.9,0.1,22.1,9.9,2.5,0.1,0.0,0.1,0.0,3.9
"2023-02-09T09:07:23+01:00",12.1,"-",13.5,0.0,5.3,1.7,"-","-",2.1,2.0,0.0,0.0,0.1,12.7,1.7,0.9,8.1,3.2,0.3,232.9,46.6,275.6,49.1,4.4,2.8,0.8,0.0,157.6,"-",0.7,0.1,32.9,11.7,"-",0.1,3.8,"-",4.6,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.3,121.5,331.5,64.9,0.0,"-","-",0.0,0.0,1.8,0.6,0.2,0.3,0.1,0.0,0.3,0.0,"-",10.3,"-",2.0,1.4,"-",71.9,0.1,22.1,9.9,2.5,0.1,0.0,0.1,0.0,3.9
"2023-02-09T09:08:02+01:00",12.1,"-",19.8,0.0,5.3,1.7,"-","-",2.2,2.0,0.0,0.0,0.1,14.6,1.7,0.9,8.1,5.8,0.3,336.9,46.6,277.5,49.1,4.4,2.8,0.8,0.0,157.5,"-",0.7,0.1,40.9,11.7,1.4,0.1,3.9,0.8,4.6,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.3,124.5,338.7,64.9,0.0,"-","-",0.0,0.0,1.8,0.7,0.2,0.3,0.1,0.0,0.3,0.0,"-",10.8,"-",2.1,1.4,"-",71.9,0.1,"-",10.0,2.5,0.1,0.0,0.1,0.0,3.9
