"timestamp","init.scope::memory.current","system.slice::memory.current","user.slice::memory.current"
"2023-02-09T08:59:00+01:00",63.9,1892.8,0.0
"2023-02-09T09:00:20+01:00",64.3,1642.6,384.1
"2023-02-09T09:01:21+01:00",63.6,1637.3,384.0
"2023-02-09T09:02:29+01:00",63.7,1633.4,384.0
"2023-02-09T09:03:07+01:00",63.8,1645.8,384.0
"2023-02-09T09:04:23+01:00",64.3,1650.7,384.3
"2023-02-09T09:05:29+01:00",63.7,1660.0,384.3
"2023-02-09T09:06:21+01:00",63.6,1668.3,384.3
"2023-02-09T09:07:23+01:00",63.7,1679.0,384.4
"2023-02-09T09:08:02+01:00",63.9,1808.5,2011.1
"2023-02-09T09:09:05+01:00",64.1,2071.3,5734.4
"2023-02-09T09:10:05+01:00",64.0,2035.4,5300.1
"2023-02-09T09:11:04+01:00",64.0,2041.4,5526.4
"2023-02-09T09:12:00+01:00",64.1,2372.7,6940.1
"2023-02-09T09:13:29+01:00",64.0,2415.7,6476.8
"2023-02-09T09:14:50+01:00",64.1,2405.9,6530.0
"2023-02-09T09:15:02+01:00",64.1,2402.3,6508.4
"2023-02-09T09:16:21+01:00",64.2,2412.1,6688.6
"2023-02-09T09:17:22+01:00",64.1,2415.1,7239.7
"2023-02-09T09:18:21+01:00",64.1,2428.3,7749.2
"2023-02-09T09:19:29+01:00",64.2,2415.9,7282.6
"2023-02-09T09:20:50+01:00",64.1,2423.8,7354.7
"2023-02-09T09:21:21+01:00",64.1,2413.8,7410.1
"2023-02-09T09:22:29+01:00",64.1,2421.6,7572.1
"2023-02-09T09:23:29+01:00",64.2,2448.4,7463.9
"2023-02-09T09:24:21+01:00",64.1,2419.8,7404.9
"2023-02-09T09:25:29+01:00",64.1,2423.3,7428.2
"2023-02-09T09:26:21+01:00",64.1,2419.6,7408.5
"2023-02-09T09:27:20+01:00",64.1,2425.7,7414.8
"2023-02-09T09:28:50+01:00",64.1,2447.4,7532.0
"2023-02-09T09:29:29+01:00",64.1,2469.8,7580.7
"2023-02-09T09:30:21+01:00",64.1,2427.2,7620.9
"2023-02-09T09:31:21+01:00",64.1,2434.6,7676.2
"2023-02-09T09:32:06+01:00",64.1,2424.3,7775.3
"2023-02-09T09:33:18+01:00",64.1,2425.4,7769.1
"2023-02-09T09:34:50+01:00",64.1,2421.1,7738.9
"2023-02-09T09:35:25+01:00",64.1,2429.4,7764.3
"2023-02-09T09:36:19+01:00",64.1,2434.0,9082.3
"2023-02-09T09:37:17+01:00",64.1,2439.2,8976.2
"2023-02-09T09:38:07+01:00",64.1,2438.9,8761.9
"2023-02-09T09:39:02+01:00",64.2,2444.1,9219.3
"2023-02-09T09:40:50+01:00",64.1,2443.9,9701.6
"2023-02-09T09:41:21+01:00",64.1,2445.0,9649.0
"2023-02-09T09:42:20+01:00",64.2,2434.5,9623.8
"2023-02-09T09:43:01+01:00",64.1,2439.2,9620.9
"2023-02-09T09:44:16+01:00",64.1,2447.0,9616.4
"2023-02-09T09:45:21+01:00",64.1,2446.7,9567.0
"2023-02-09T09:46:21+01:00",64.1,2492.2,9574.1
"2023-02-09T09:47:19+01:00",64.2,2464.4,9668.3
"2023-02-09T09:48:21+01:00",64.1,2452.8,9809.2
"2023-02-09T09:49:29+01:00",64.1,2444.8,10068.9
"2023-02-09T09:50:29+01:00",64.2,2450.6,10073.6
"2023-02-09T09:51:21+01:00",64.1,2438.9,10340.5
"2023-02-09T09:52:50+01:00",64.1,2463.7,9963.1
"2023-02-09T09:53:29+01:00",64.1,2451.1,10075.5
"2023-02-09T09:54:21+01:00",64.1,2454.1,10158.0
"2023-02-09T09:55:29+01:00",64.1,2451.3,10017.3
"2023-02-09T09:56:21+01:00",64.1,2453.8,10047.7
"2023-02-09T09:57:21+01:00",64.1,2490.7,11329.9
"2023-02-09T09:58:50+01:00",64.2,2512.2,11361.5
"2023-02-09T09:59:29+01:00",64.1,2516.2,10997.1
"2023-02-09T10:00:02+01:00",64.2,2530.0,11012.5
"2023-02-09T10:01:03+01:00",64.1,2544.5,10989.0
"2023-02-09T10:02:29+01:00",64.2,2510.5,10995.5
"2023-02-09T10:03:20+01:00",64.1,2499.7,11003.9
"2023-02-09T10:04:50+01:00",64.1,2502.1,10985.3
"2023-02-09T10:05:29+01:00",64.1,2504.2,10979.0
"2023-02-09T10:06:20+01:00",64.1,2502.2,10984.5
"2023-02-09T10:07:29+01:00",64.1,2504.8,10994.1
"2023-02-09T10:08:14+01:00",64.1,2519.5,11011.3
"2023-02-09T10:09:20+01:00",64.2,2556.5,11030.0
"2023-02-09T10:10:50+01:00",64.1,2517.7,11035.4
"2023-02-09T10:11:21+01:00",64.1,2519.9,11035.7
"2023-02-09T10:12:20+01:00",64.1,2500.8,11042.3
"2023-02-09T10:13:29+01:00",64.1,2535.3,11043.6
"2023-02-09T10:14:29+01:00",64.2,2501.7,11116.3
"2023-02-09T10:15:21+01:00",64.2,2491.7,11036.4
"2023-02-09T10:16:21+01:00",64.1,2500.5,11184.7
"2023-02-09T10:17:29+01:00",64.1,2501.2,11101.3
"2023-02-09T10:18:21+01:00",64.1,2507.5,11116.0
"2023-02-09T10:19:29+01:00",64.1,2505.0,11253.9
"2023-02-09T10:20:29+01:00",64.1,2503.9,11252.5
"2023-02-09T10:21:19+01:00",64.1,2499.8,11221.3
"2023-02-09T10:22:50+01:00",64.2,2506.0,11168.0
"2023-02-09T10:23:29+01:00",64.1,2504.2,11238.2
"2023-02-09T10:24:21+01:00",64.1,2502.5,11226.8
"2023-02-09T10:25:29+01:00",64.2,2507.6,11311.6
"2023-02-09T10:26:21+01:00",64.1,2507.5,11200.7
"2023-02-09T10:27:21+01:00",64.1,2505.7,11293.2
"2023-02-09T10:28:50+01:00",64.2,2507.6,11479.0
"2023-02-09T10:29:29+01:00",64.1,2504.5,11397.9
"2023-02-09T10:30:21+01:00",64.1,2506.4,11461.7
"2023-02-09T10:31:21+01:00",64.1,2504.1,11491.6
"2023-02-09T10:32:29+01:00",64.1,2507.0,11448.1
"2023-02-09T10:33:21+01:00",64.1,2521.2,11358.1
"2023-02-09T10:34:50+01:00",64.2,2503.6,11541.4
"2023-02-09T10:35:29+01:00",64.1,2501.4,11418.4
"2023-02-09T10:36:21+01:00",64.1,2506.3,11428.5
"2023-02-09T10:37:29+01:00",64.1,2506.0,11440.0
"2023-02-09T10:38:14+01:00",64.1,2547.7,11540.8
"2023-02-09T10:39:20+01:00",64.1,2510.5,11653.6
"2023-02-09T10:40:50+01:00",64.1,2508.2,11594.2
"2023-02-09T10:41:21+01:00",64.1,2506.3,11526.4
"2023-02-09T10:42:21+01:00",64.1,2504.8,11572.1
"2023-02-09T10:43:29+01:00",64.1,2507.4,11692.1
"2023-02-09T10:44:50+01:00",64.1,2514.5,11791.1
"2023-02-09T10:45:11+01:00",64.1,2574.2,11802.8
"2023-02-09T10:46:21+01:00",64.1,2544.3,12472.4
"2023-02-09T10:47:29+01:00",64.1,2539.7,12427.9
"2023-02-09T10:48:02+01:00",64.1,2540.0,12475.4
"2023-02-09T10:49:29+01:00",64.1,2511.3,11829.4
"2023-02-09T10:50:50+01:00",64.1,2515.8,11685.8
"2023-02-09T10:51:21+01:00",64.2,2513.3,11605.7
"2023-02-09T10:52:29+01:00",64.1,2516.2,11572.1
"2023-02-09T10:53:29+01:00",64.1,2513.5,11595.6
"2023-02-09T10:54:21+01:00",64.1,2516.6,11599.5
"2023-02-09T10:55:29+01:00",64.1,2516.9,11646.6
"2023-02-09T10:56:21+01:00",64.1,2514.4,11573.9
"2023-02-09T10:57:21+01:00",64.1,2516.9,11674.5
"2023-02-09T10:58:50+01:00",64.1,2514.6,11671.6
"2023-02-09T10:59:29+01:00",64.1,2516.5,11704.2
"2023-02-09T11:00:21+01:00",64.2,2509.5,11821.8
"2023-02-09T11:01:21+01:00",64.3,2521.5,11832.9
"2023-02-09T11:02:29+01:00",64.1,2518.2,11742.6
"2023-02-09T11:03:21+01:00",64.1,2520.1,11776.7
"2023-02-09T11:04:50+01:00",64.1,2519.6,11802.5
"2023-02-09T11:05:29+01:00",64.1,2521.9,11783.0
"2023-02-09T11:06:19+01:00",64.2,2517.7,11878.0
"2023-02-09T11:07:29+01:00",64.1,2518.4,11813.0
"2023-02-09T11:08:29+01:00",64.1,2528.1,11848.8
"2023-02-09T11:09:21+01:00",64.1,2522.4,11863.8
"2023-02-09T11:10:50+01:00",64.1,2520.5,12044.2
"2023-02-09T11:11:21+01:00",64.1,2521.8,12032.0
"2023-02-09T11:12:21+01:00",64.1,2521.5,12131.5
"2023-02-09T11:13:29+01:00",64.1,2512.9,12019.9
"2023-02-09T11:14:29+01:00",64.1,2518.9,12194.0
"2023-02-09T11:15:21+01:00",64.1,2523.8,12145.3
"2023-02-09T11:16:21+01:00",64.2,2526.6,12228.4
"2023-02-09T11:17:29+01:00",64.2,2523.8,12174.0
"2023-02-09T11:18:21+01:00",64.1,2535.5,12275.1
"2023-02-09T11:19:29+01:00",64.1,2521.7,12091.6
"2023-02-09T11:20:29+01:00",64.1,2517.1,12007.2
"2023-02-09T11:21:21+01:00",64.1,2518.3,12101.6
"2023-02-09T11:22:50+01:00",64.1,2521.2,12077.3
"2023-02-09T11:23:29+01:00",64.1,2520.9,12071.7
"2023-02-09T11:24:21+01:00",64.1,2524.5,12145.0
"2023-02-09T11:25:29+01:00",64.1,2525.4,12298.6
"2023-02-09T11:26:21+01:00",64.1,2514.1,12135.5
