"timestamp","system.slice/cron.service::memory.current","system.slice/cups.service::memory.current","system.slice/postfix.service::memory.current"
"2023-02-06T10:33:25+01:00",733184,8515584,13307904
"2023-02-06T10:34:39+01:00",733184,8515584,13307904
"2023-02-06T10:35:25+01:00",733184,8515584,13307904
"2023-02-06T10:36:25+01:00",733184,8515584,13307904
"2023-02-06T10:37:30+01:00",733184,8515584,13307904
"2023-02-06T10:38:32+01:00",733184,8515584,12120064
"2023-02-06T10:39:25+01:00",733184,8515584,12120064
"2023-02-06T10:40:25+01:00",733184,8515584,13307904
"2023-02-06T10:41:29+01:00",733184,8515584,13303808
"2023-02-06T10:42:00+01:00",733184,8515584,13307904
"2023-02-06T10:43:22+01:00",733184,8515584,13303808
"2023-02-06T10:44:32+01:00",733184,8515584,13303808
"2023-02-06T10:45:25+01:00",737280,8515584,13303808
"2023-02-06T10:46:39+01:00",737280,8515584,13303808
"2023-02-06T10:47:25+01:00",737280,8515584,13303808
"2023-02-06T10:48:25+01:00",737280,8515584,13303808
"2023-02-06T10:49:39+01:00",737280,8515584,13307904
"2023-02-06T10:50:22+01:00",737280,8515584,13307904
"2023-02-06T10:51:25+01:00",737280,8515584,13307904
"2023-02-06T10:52:39+01:00",737280,8515584,13307904
"2023-02-06T10:53:32+01:00",737280,8515584,13307904
"2023-02-06T10:54:25+01:00",737280,8515584,13307904
"2023-02-06T10:55:25+01:00",737280,8515584,13303808
"2023-02-06T10:56:22+01:00",737280,8515584,13303808
"2023-02-06T10:57:25+01:00",737280,8515584,13307904
"2023-02-06T10:58:39+01:00",737280,8515584,13307904
"2023-02-06T10:59:32+01:00",737280,8515584,13307904
"2023-02-06T11:00:25+01:00",724992,8515584,13307904
"2023-02-06T11:01:25+01:00",724992,8515584,13307904
"2023-02-06T11:02:22+01:00",724992,8515584,13303808
"2023-02-06T11:03:25+01:00",724992,8515584,13303808
"2023-02-06T11:04:39+01:00",724992,8515584,13303808
"2023-02-06T11:05:25+01:00",724992,8515584,13303808
"2023-02-06T11:06:25+01:00",724992,8515584,13307904
"2023-02-06T11:07:39+01:00",724992,8515584,13303808
"2023-02-06T11:08:39+01:00",724992,8519680,13307904
"2023-02-06T11:09:25+01:00",724992,8519680,13307904
"2023-02-06T11:10:25+01:00",724992,8519680,13307904
"2023-02-06T11:11:32+01:00",724992,8519680,13307904
"2023-02-06T11:12:24+01:00",724992,8519680,13307904
"2023-02-06T11:13:39+01:00",724992,8515584,13307904
"2023-02-06T11:14:07+01:00",724992,8515584,13307904
"2023-02-06T11:15:25+01:00",729088,8515584,13307904
"2023-02-06T11:16:39+01:00",729088,8515584,13303808
"2023-02-06T11:17:03+01:00",729088,8515584,13303808
"2023-02-06T11:18:25+01:00",729088,8515584,13303808
"2023-02-06T11:19:39+01:00",729088,8515584,13307904
"2023-02-06T11:20:25+01:00",729088,8515584,13303808
"2023-02-06T11:21:25+01:00",729088,8515584,13303808
"2023-02-06T11:22:39+01:00",729088,8515584,13303808
"2023-02-06T11:23:32+01:00",729088,8515584,13303808
"2023-02-06T11:24:25+01:00",729088,8515584,13303808
"2023-02-06T11:25:25+01:00",729088,8515584,13303808
"2023-02-06T11:26:32+01:00",729088,8515584,13303808
"2023-02-06T11:27:25+01:00",729088,8515584,13303808
"2023-02-06T11:28:39+01:00",729088,8515584,13303808
"2023-02-06T11:29:32+01:00",729088,8515584,13303808
"2023-02-06T11:30:24+01:00",741376,8515584,13303808
"2023-02-06T11:31:39+01:00",741376,8515584,13303808
"2023-02-06T11:32:31+01:00",741376,8515584,13303808
"2023-02-06T11:33:25+01:00",741376,8515584,13303808
"2023-02-06T11:34:39+01:00",741376,8515584,13307904
"2023-02-06T11:35:01+01:00",741376,8515584,13307904
"2023-02-06T11:36:25+01:00",741376,8515584,13307904
"2023-02-06T11:37:39+01:00",741376,8515584,13303808
"2023-02-06T11:38:06+01:00",741376,8515584,13303808
"2023-02-06T11:39:25+01:00",741376,8515584,13303808
"2023-02-06T11:40:25+01:00",741376,8515584,13303808
"2023-02-06T11:41:32+01:00",741376,8515584,13303808
"2023-02-06T11:42:25+01:00",741376,8515584,13303808
"2023-02-06T11:43:39+01:00",741376,8515584,13303808
"2023-02-06T11:44:32+01:00",741376,8515584,13303808
"2023-02-06T11:45:25+01:00",737280,8515584,13303808
"2023-02-06T11:46:39+01:00",737280,8515584,13303808
"2023-02-06T11:47:32+01:00",737280,8515584,13303808
"2023-02-06T11:48:25+01:00",737280,8515584,13303808
"2023-02-06T11:49:39+01:00",737280,8515584,13307904
"2023-02-06T11:50:22+01:00",737280,8515584,13307904
"2023-02-06T11:51:25+01:00",737280,8515584,13307904
"2023-02-06T11:52:39+01:00",737280,8515584,13307904
"2023-02-06T11:53:32+01:00",737280,8515584,13307904
"2023-02-06T11:54:25+01:00",737280,8515584,13307904
"2023-02-06T11:55:25+01:00",737280,8515584,13307904
"2023-02-06T11:56:32+01:00",737280,8515584,13303808
"2023-02-06T11:57:25+01:00",737280,8515584,13303808
"2023-02-06T11:58:26+01:00",737280,8515584,13303808
"2023-02-06T11:59:32+01:00",737280,8515584,13303808
"2023-02-06T12:00:24+01:00",733184,8515584,13303808
"2023-02-06T12:01:24+01:00",733184,8515584,13303808
"2023-02-06T12:02:32+01:00",733184,8515584,13303808
"2023-02-06T12:03:25+01:00",733184,8515584,13303808
"2023-02-06T12:04:39+01:00",733184,8515584,13303808
"2023-02-06T12:05:25+01:00",733184,8515584,13303808
"2023-02-06T12:06:25+01:00",733184,8515584,13303808
"2023-02-06T12:07:15+01:00",733184,8515584,13303808
"2023-02-06T12:08:32+01:00",733184,8515584,13303808
"2023-02-06T12:09:25+01:00",733184,8515584,13307904
"2023-02-06T12:10:25+01:00",733184,8515584,13307904
"2023-02-06T12:11:32+01:00",733184,8515584,13303808
"2023-02-06T12:12:25+01:00",733184,8515584,13303808
"2023-02-06T12:13:39+01:00",733184,8515584,13303808
"2023-02-06T12:14:39+01:00",733184,8515584,13303808
"2023-02-06T12:15:04+01:00",208330752,8515584,13303808
"2023-02-06T12:16:39+01:00",208330752,8515584,13303808
"2023-02-06T12:17:32+01:00",208330752,8515584,13303808
"2023-02-06T12:18:25+01:00",208330752,8515584,13303808
"2023-02-06T12:19:39+01:00",208330752,8515584,13357056
"2023-02-06T12:20:25+01:00",208330752,8515584,13357056
"2023-02-06T12:21:12+01:00",208330752,8515584,13357056
"2023-02-06T12:22:27+01:00",208330752,8515584,13361152
"2023-02-06T12:23:32+01:00",208330752,8515584,13357056
"2023-02-06T12:24:25+01:00",208330752,8515584,13357056
